url,label,source,registered_domain
https://authentication.ms/E.6pY1BDA3LAzO?/VGhlIG5leHQgZ2VuZXJhdGlvbiBvZiBzZWN1cml0eSBhd2FyZW5lc3MgaXMgZGVzaWduZWQgZm9yIGVtcGxveWVlcyBhbmQgYnVpbHQgZm9yIGVudGVycHJpc2VzLiBPdXIgaW5kdXN0cnktbGVhZGluZyByZXN1bHRzIGFyZSBwb3dlcmVkIGJ5IGNvZ25pdGl2ZSBhdXRvbWF0aW9uLg,1,local-phishing,authentication.ms
https://tk-mall68.com/www/,1,local-phishing,tk-mall68.com
https://primevideo-service-support.165-154-255-202.cpanel.site/desktop/?auth_max_open=0,1,local-phishing,cpanel.site
http://shorturl.asia/7oxYT,1,local-phishing,shorturl.asia
https://tk-mall68.cyou/www,1,local-phishing,tk-mall68.cyou
https://minimum-advantage-919889.framer.app/,1,local-phishing,framer.app
https://rbcode.net/v/fc7c9ee405e8c68a88c7117d78cf4fc3,1,local-phishing,rbcode.net
https://fls-a2a4a649-93f7-449b-bd0a-f7f955b72b9a.laravel.cloud/htlg-M.html,1,local-phishing,laravel.cloud
https://activarcuentabhd-acceso.zya.me/,1,local-phishing,zya.me
http://www.mand-xude.com/,1,local-phishing,mand-xude.com
https://www.whastapp-chat.my/,1,local-phishing,whastapp-chat.my
https://www.my-whastapp.help/,1,local-phishing,my-whastapp.help
https://www.whastapp-team.my/,1,local-phishing,whastapp-team.my
https://www.whastapp-center.my/,1,local-phishing,whastapp-center.my
https://www.whastapp-user.my/,1,local-phishing,whastapp-user.my
https://www.whastapp-center.help/,1,local-phishing,whastapp-center.help
https://www.whastapp-user.help/,1,local-phishing,whastapp-user.help
https://2m2kaejt.6lnov0.cn/,1,local-phishing,6lnov0.cn
http://mtoken.loan/,1,local-phishing,mtoken.loan
https://www.roblox.ly/users/2565394122/profile,1,local-phishing,roblox.ly
http://www.roblox.com.mu/communities/2261059884/anityxx,1,local-phishing,roblox.com.mu
http://qrco.de/bgz1w5,1,local-phishing,qrco.de
https://lo.lnzjoz.com/frontroyalva/frontroyalva.html,1,local-phishing,lnzjoz.com
https://stored.steamcommunutty.com/profiles/76561119133252110/,1,local-phishing,steamcommunutty.com
https://cocinaenbolivia.co/comida/ebisaplus/,1,local-phishing,cocinaenbolivia.co
https://s4w.in/roblox-com-users-376407644-profile,1,local-phishing,s4w.in
http://qrsu.io/n1Zho,1,local-phishing,qrsu.io
https://digitalartsonline.in/admin/web/authen.php,1,local-phishing,digitalartsonline.in
https://tuweb-cr3d1t-001.hstn.me/,1,local-phishing,hstn.me
https://discordapp.tera.gg/blog/clarifying-our-dangerous-and-regulated-goods-policy,1,local-phishing,tera.gg
https://www.borderclick.com/BC/media/Borderclick/Files/freerobuxgenerator.htm,1,local-phishing,borderclick.com
https://s.team-p.my/p/kzwr-pkzc/uicefryz,1,local-phishing,team-p.my
https://akussedu.com/threecountiesfsprop,1,local-phishing,akussedu.com
http://kingsgreen.co.za/wp-mall/amazon/aol-mall.php,1,local-phishing,kingsgreen.co.za
https://cerainvoice.edgeone.dev/,1,local-phishing,edgeone.dev
https://www.robiox.com.py/users/313228266721/profile,1,local-phishing,robiox.com.py
https://www.eand.ae/b2c/ecareLogin.html?locale=en,1,local-phishing,eand.ae
http://robinhood.toys/,1,local-phishing,robinhood.toys
https://ptsonline.dynv6.net/2/home.php,1,local-phishing,dynv6.net
https://www.ledgerwellat.com/,1,local-phishing,ledgerwellat.com
https://_wildcard_.gwsindia.in/Sync/document.getElementById.html,1,local-phishing,gwsindia.in
https://datura.in/under-arm-hair-removal.php,1,local-phishing,datura.in
https://1xlite-41992.com/,1,local-phishing,1xlite-41992.com
https://itsuppports.com/?r=af7d57f3-a9a2-418d-9f35-e9033da0271c&rg=eu,1,local-phishing,itsuppports.com
https://sikencserbug-00--creditdispon.replit.app/,1,local-phishing,replit.app
https://www.roblox.com.ml/users/311344324397/profile,1,local-phishing,roblox.com.ml
https://yhgwyqom.elementor.cloud/arg/Aa/A/ES/argentina/ar/ES9D303ESS/ESS4Z3499SES/82CFGU2554/index.html,1,local-phishing,elementor.cloud
https://instant-as-built.de/Acmecos,1,local-phishing,instant-as-built.de
https://www.ledgerlivewebapp.com/,1,local-phishing,ledgerlivewebapp.com
https://16274.xyz/,1,local-phishing,16274.xyz
http://www.wp.pl-zadluzenie-informacja.cfd.vh13647.vh.net.pl/,1,local-phishing,vh.net.pl
https://steamcommunitly-balancework.shop/workshop,1,local-phishing,steamcommunitly-balancework.shop
https://accountoservoi1787402526936.2141811.meusitehostgator.com.br/moh/postfa,1,local-phishing,meusitehostgator.com.br
https://www.182onlinee.com/,1,local-phishing,182onlinee.com
https://rdkpvq.shop/,1,local-phishing,rdkpvq.shop
http://lykaworld.de/,1,local-phishing,lykaworld.de
https://1url.at/www/robloxcom-users-7754253869-profile,1,local-phishing,1url.at
https://nextgenafrica.org/amendes-antai-gouv/infractions/redirect,1,local-phishing,nextgenafrica.org
https://www.roblox.et/users/8795648614/profile,1,local-phishing,roblox.et
https://u.to/roblox-com-users-8795648614-profile/80ysIg,1,local-phishing,u.to
https://60941.xyz/,1,local-phishing,60941.xyz
https://60844.xyz/,1,local-phishing,60844.xyz
https://rblx.pk/5v-8kHrq,1,local-phishing,rblx.pk
